"100001";"Jednotlivý strom";"Klen nad Českou Vsí";"22.09.2004";"ze zákona";"Na svažité louce při rozhraní obecní zástavby a lučních porostů, cca 150 m jihovýchodně od kostela";"{X:1048550,08, Y:541804,66} ";"Olomoucký"
"100002";"Jednotlivý strom";"Smrk u obrázku na Miroslavi";"29.09.2004";"ze zákona";"cca 1 km jižně od kostela v Lipové Lázních, u lesní cesty cca 200 m nad rekreačním areálem Miroslav";"{X:1051300,74, Y:549055,93} ";"Olomoucký"
"100003";"Skupina stromů";"U dvou dubů";"16.09.2004";"vyhlášené";"Na soukromém pozemku, na levém břehu melioračního kanálu, asi 100 m západně podél silnice Česká Ves-Písečná";"{X:1046949,00, Y:540446,00} {X:1046943,00, Y:540437,00} ";"Olomoucký"
"100004";"Skupina stromů";"Kaštany u kostela";"18.12.2003";"vyhlášené";"Před kostelem Nanebevzetí Panny Marie asi 50 m od náměstí Svobody ve Zlatých Horách";"{X:1048261,00, Y:529411,00} {X:1048270,00, Y:529410,00} {X:1048284,00, Y:529410,00} ";"Olomoucký"
"100005";"Jednotlivý strom";"Dub v kamenolomu";"16.03.1973";"ze zákona";"cca 60 m za horní hranou jámy vápencového kamenolomu v Ondřejovicích, vlevo od silnice ze Zlatých Hor do Mikulovic";"{X:1048286,00, Y:532088,00} ";"Olomoucký"
"100006";"Skupina stromů";"Lípy u pomníku svatého Jana Nepomuckého";"29.08.2003";"vyhlášené";"Veřejné prostranství u hlavní silnice blízko autobusové zastávky pod kostelem u pomníku sv. Jana Nepomuckého";"{X:1044024,06, Y:534414,16} {X:1044022,39, Y:534416,67} ";"Olomoucký"
"100007";"Jednotlivý strom";"Dub u Dlabačů";"27.08.2003";"vyhlášené";"V severovýchodní části Širokého Brodu, na konci obce, asi 100 m od mostu do Hradce-Nové Vsi ";"{X:1045786,45, Y:537092,62} ";"Olomoucký"
"100008";"Jednotlivý strom";"Jasan v Ondřejovickém parku";"30.08.2002";"ze zákona";"V severozápadní části zpustlého parku u bývalého zámečku, naproti kostelu sv. Martina v osadě Ondřejovice";"{X:1048535,65, Y:532911,65} ";"Olomoucký"
"100009";"Jednotlivý strom";"Tis v Ondřejovickém parku";"30.08.2002";"ze zákona";"V severozápadní části zpustlého parku u bývalého zámečku naproti kostelu sv. Martina v osadě Ondřejovice";"{X:1048594,19, Y:532981,90} ";"Olomoucký"
"100010";"Skupina stromů";"Buk, dub a tis v Ondřejovickém parku";"05.09.2002";"ze zákona";"V jihozápadní části zpustlého parku u bývalého zámečku naproti kostelu sv. Martina v osadě Ondřejovice";"{X:1048678,56, Y:532909,27} {X:1048677,61, Y:532920,24} {X:1048678,56, Y:532909,27} ";"Olomoucký"
"100011";"Jednotlivý strom";"Lípa u Machaly";"24.08.1982";"ze zákona";"neoplocená zahrada u čp 140 po pravé straně silnice z Bělé pod Pradědem na Vidly a Karlovu Studánku";"{X:1059712,94, Y:544383,72} ";"Olomoucký"
